Hospital Name,Type,Zone,Area,Address,Phone,Category,Notes
Victoria Hospital,Government,Central/South,Fort/K.R. Road,"Fort Road, Bengaluru 560002",080-26701150,"Multi-specialty, Teaching",Attached to Bangalore Medical College and Research Institute; one of the largest govt hospitals in the city
Bangalore Medical College and Research Institute (BMCRI),Government,Central/South,Fort/K.R. Road,"Fort, K.R. Road, Bangalore 560002",080-26701529,General/Teaching,"1,160 beds; parent institute for Victoria Hospital & Vani Vilas Hospital"
Vani Vilas Hospital,Government,Central/South,Fort/K.R. Road,"K.R. Road, Fort, Bengaluru 560002",080-26703224,Women & Children,"Maternity, high-risk pregnancy, neonatology"
Bowring and Lady Curzon Hospital,Government,Central,Shivajinagar,"Shivajinagar, Bengaluru",080-25580262,"General, Teaching","150+ years old; general medicine, surgery, ENT, dermatology, ophthalmology, obstetrics"
"ESI Hospital, Rajajinagar",Government,West,Rajajinagar,"2nd Block, Rajajinagar, Bengaluru 560010",080-23125522,General,Central govt (ESI scheme) hospital
KC General Hospital,Government,Central/West,Malleshwaram,"Malleshwaram, Bengaluru",,General,
Kidwai Memorial Institute of Oncology,Government,South,Hombegowda Nagar/Hosur Road,Bengaluru,,Oncology (Cancer),State-run cancer referral centre
Sri Jayadeva Institute of Cardiovascular Sciences and Research,Government,South,Jayanagar 9th Block,"Bannerghatta Road, Jayanagar 9th Block, Bengaluru 560069",080-22977602,Cardiac Specialty,550 beds; also has a North Campus near Hebbal
Sri Jayadeva Institute - Hebbal (North Campus),Government,North,Hebbal,"Malur Road, near Hebbal, Bengaluru",080-22938000,Cardiac Specialty,
NIMHANS (National Institute of Mental Health & Neurosciences),Government,South,Hosur Road/Lakkasandra,"Hosur Road, Bengaluru 560029",,Mental Health & Neurosciences,Institute of National Importance
Indira Gandhi Institute of Child Health (IGICH),Government,South,Sudhama Nagar,"Hosur Rd, Sudhama Nagar, Bangalore 560029",080-22233885,Pediatric,
SDS Tuberculosis Research Centre & Rajiv Gandhi Institute of Chest Diseases,Government,South,Hosur Road,Bengaluru,,Chest/Respiratory Diseases,
Karnataka Institute of Endocrinology and Research,Government,Central/South,Fort area,Bengaluru,,Endocrinology,
Sir C V Raman General Hospital,Government,East,Old Airport Road area,Bengaluru,080-25281245,General,AB-Arogya Karnataka empanelled
H Siddaiah Road Referral Hospital (BBMP),Government,Central/South,H Siddaiah Road,"Off J.C. Road, next to Lions Eye Hospital, Bengaluru 560002",080-22975785,General/Referral,BBMP referral hospital
Banashankari Referral Hospital (BBMP),Government,South,Banashankari,"27th Cross, 17th Main, BSK 2nd Stage, Bengaluru 560070",,General/Referral,BBMP referral hospital
Ulsoor Referral Hospital (BBMP),Government,East,Ulsoor,"Cambridge Road, near Ulsoor Police Station, Bengaluru 560008",080-22975876,General/Referral,BBMP referral hospital
Hosahalli Referral Hospital (BBMP),Government,West,Vijayanagar,"5th Main Rd, M.C. Layout, Vijayanagar, Bengaluru 560040",080-22975766,General/Referral,BBMP referral hospital
Jayanagar General Hospital (BBMP),Government,South,Jayanagar,"Jayanagar, Bengaluru",,General,
KR Puram General Hospital,Government,East,KR Puram,"Krishnarajapuram, Bengaluru",,General,
BBMP Madiwala Hospital,Government,South,BTM Layout,"56, 1st Cross Rd, 1st Stage, BTM Layout, Bengaluru 560068",,General,
Beguru Government Hospital,Government,South,Bommanahalli,"Begur Main Rd, Classic Paradise Layout, Bommanahalli, Bengaluru 560068",074883 12569,General,
"Government Hospital, Hebbagodi",Government,South,Bommasandra/Electronic City,"Thirupalya, Bommasandra, Bengaluru 560099",,General,
Bommasandra ESI Hospital,Government,South,Bommanahalli/Electronic City,"Agrahara, Bommanahalli, Bengaluru",098868 12853,General (ESI),
"Government Hospital, Basaveshwar Nagar",Government,West,Basaveshwar Nagar,"Basaveshwar Nagar, Bengaluru 560079",,General,
"Government Hospital, Rajajinagar",Government,West,Rajajinagar,"20th Main Rd, 5th Block, 3rd Block, Rajajinagar, Bengaluru 560010",,General,
"Government Maternity Hospital, Banashankari (Srinagar)",Government,South,Banashankari,"Srinagar, Banashankari Stage I, Bengaluru 560026",,Maternity,
"Government Hospital, Kengeri",Government,West,Kengeri,"Kengeri Main Rd, BDA Layout, Nagarbhavi, Bengaluru 560056",,General,
"Fortis Hospital, Cunningham Road",Private,Central,Vasanth Nagar,"14, Cunningham Rd, near Sigma Central Mall, Vasanth Nagar, Bengaluru",096868 60310,Multi-specialty,
"Manipal Hospital, Millers Road",Private,Central,Vasanth Nagar,"71/1, Millers Rd, opp. St. Anne's College, Vasanth Nagar, Bengaluru",1800-102-4647,Multi-specialty,
"Vikram Hospital, Millers Road",Private,Central,Millers Road,"No.71/1, Millers Road, Bengaluru",,Multi-specialty,
Citizen Hospital,Private,Central,Kalasipalya,"Dispensary Rd, 2nd Phase, Kalasipalya, Bengaluru",080-43943355,General,
St. Martha's Hospital,Private,Central,Ulsoor,"Near Ulsoor Lake, Ulsoor Rd, Bengaluru",080-25594520,"General, Trust hospital",
